Fecha,Casos nuevos históricos,Recuperados nuevos históricos,Fallecidos nuevos históricos
2022-03-13,72.0,69.0,1.0
2022-03-14,59.0,57.0,0.0
2022-03-15,67.0,118.0,0.0
2022-03-16,57.0,95.0,0.0
2022-03-17,85.0,65.0,0.0
2022-03-18,69.0,84.0,0.0
2022-03-19,69.0,68.0,0.0
2022-03-20,54.0,46.0,0.0
2022-03-21,50.0,46.0,118.0
2022-03-22,34.0,98.0,0.0
2022-03-23,58.0,79.0,0.0
2022-03-24,68.0,74.0,1.0
2022-03-25,44.0,49.0,1.0
2022-03-26,75.0,55.0,2.0
2022-03-27,56.0,31.0,2.0
2022-03-28,34.0,36.0,1.0
2022-03-29,22.0,75.0,0.0
2022-03-30,29.0,49.0,0.0
2022-03-31,43.0,67.0,2.0
2022-04-01,53.0,44.0,0.0
2022-04-02,25.0,44.0,0.0
2022-04-03,24.0,27.0,0.0
2022-04-04,29.0,34.0,1.0
2022-04-05,28.0,59.0,0.0
2022-04-06,32.0,34.0,0.0
2022-04-07,27.0,24.0,0.0
2022-04-08,34.0,26.0,0.0
2022-04-09,17.0,26.0,0.0
2022-04-10,20.0,29.0,0.0
2022-04-11,20.0,22.0,0.0
2022-04-12,18.0,36.0,0.0
2022-04-13,20.0,26.0,0.0
2022-04-14,25.0,28.0,1.0
2022-04-15,26.0,24.0,0.0
2022-04-16,19.0,25.0,0.0
2022-04-17,16.0,20.0,1.0
2022-04-18,14.0,14.0,0.0
2022-04-19,11.0,14.0,0.0
2022-04-20,10.0,21.0,0.0
2022-04-21,26.0,16.0,0.0
2022-04-22,18.0,16.0,0.0
2022-04-23,22.0,10.0,0.0
2022-04-24,26.0,18.0,0.0
2022-04-25,14.0,17.0,0.0
2022-04-26,11.0,18.0,0.0
2022-04-27,19.0,15.0,0.0
2022-04-28,32.0,21.0,0.0
2022-04-29,24.0,22.0,0.0
2022-04-30,31.0,18.0,0.0
2022-05-01,21.0,23.0,0.0
2022-05-02,13.0,10.0,0.0
2022-05-03,10.0,27.0,0.0
2022-05-04,34.0,33.0,0.0
2022-05-05,27.0,18.0,0.0
2022-05-06,40.0,25.0,0.0
2022-05-07,21.0,15.0,0.0
2022-05-08,18.0,14.0,0.0
2022-05-09,20.0,24.0,0.0
2022-05-10,8.0,41.0,0.0
2022-05-11,27.0,16.0,0.0
2022-05-12,43.0,23.0,0.0
2022-05-13,44.0,17.0,0.0
2022-05-14,28.0,24.0,0.0
2022-05-15,29.0,22.0,0.0
2022-05-16,23.0,23.0,0.0
2022-05-17,18.0,52.0,0.0
2022-05-18,43.0,40.0,1.0
2022-05-19,38.0,23.0,0.0
2022-05-20,36.0,30.0,1.0
2022-05-21,32.0,29.0,0.0
2022-05-22,26.0,37.0,0.0
2022-05-23,18.0,26.0,0.0
2022-05-24,19.0,24.0,0.0
2022-05-25,41.0,28.0,1.0
2022-05-26,58.0,38.0,0.0
2022-05-27,47.0,28.0,0.0
2022-05-28,60.0,43.0,1.0
2022-05-29,50.0,30.0,0.0
2022-05-30,28.0,39.0,0.0
2022-05-31,27.0,55.0,0.0
2022-06-01,55.0,50.0,0.0
2022-06-02,82.0,66.0,0.0
2022-06-03,70.0,39.0,1.0
2022-06-04,53.0,45.0,0.0
2022-06-05,48.0,40.0,0.0
2022-06-06,47.0,39.0,0.0
2022-06-07,30.0,85.0,0.0
2022-06-08,66.0,82.0,0.0
2022-06-09,77.0,61.0,1.0
2022-06-10,56.0,43.0,0.0
2022-06-11,74.0,66.0,0.0
2022-06-12,51.0,43.0,0.0
2022-06-13,55.0,35.0,0.0
2022-06-14,62.0,93.0,0.0
2022-06-15,85.0,59.0,0.0
2022-06-16,100.0,63.0,0.0
2022-06-17,85.0,64.0,0.0
2022-06-18,91.0,79.0,0.0
